,gcm,period_scenario,temp_ch_ipcc,region
107,gfdl-esm4,2081-2100_ssp370,5.2942231281149885,RGI05_glacier
108,gfdl-esm4,2021-2040_ssp585,2.147584181630525,RGI05_glacier
109,gfdl-esm4,2041-2060_ssp585,2.967589281573667,RGI05_glacier
110,gfdl-esm4,2061-2080_ssp585,4.31270350120668,RGI05_glacier
111,gfdl-esm4,2081-2100_ssp585,5.750650898659592,RGI05_glacier
112,gfdl-esm4,1851-1870_hist,0.030929735872637143,RGI06_glacier
113,gfdl-esm4,1901-1920_hist,0.43575107715293654,RGI06_glacier
114,gfdl-esm4,1951-1970_hist,0.3929888442068335,RGI06_glacier
115,gfdl-esm4,1995-2014_hist,0.7930617374131959,RGI06_glacier
116,gfdl-esm4,2021-2040_ssp126,1.1077504777212157,RGI06_glacier
117,gfdl-esm4,2041-2060_ssp126,0.7228721497654891,RGI06_glacier
118,gfdl-esm4,2061-2080_ssp126,0.7957535954705309,RGI06_glacier
119,gfdl-esm4,2081-2100_ssp126,0.5958614416622868,RGI06_glacier
120,gfdl-esm4,2021-2040_ssp370,0.5708127830989116,RGI06_glacier
121,gfdl-esm4,2041-2060_ssp370,1.866200207002216,RGI06_glacier
122,gfdl-esm4,2061-2080_ssp370,2.66174288627892,RGI06_glacier
123,gfdl-esm4,2081-2100_ssp370,2.934110473691034,RGI06_glacier
124,gfdl-esm4,2021-2040_ssp585,0.9526853968860013,RGI06_glacier
125,gfdl-esm4,2041-2060_ssp585,1.4131588729416524,RGI06_glacier
126,gfdl-esm4,2061-2080_ssp585,2.0036962962016407,RGI06_glacier
127,gfdl-esm4,2081-2100_ssp585,2.7376858781956304,RGI06_glacier
128,gfdl-esm4,1851-1870_hist,0.5869186146748283,RGI07_glacier
129,gfdl-esm4,1901-1920_hist,0.8684925280329977,RGI07_glacier
130,gfdl-esm4,1951-1970_hist,1.2400491116465604,RGI07_glacier
131,gfdl-esm4,1995-2014_hist,0.5839571062997307,RGI07_glacier
132,gfdl-esm4,2021-2040_ssp126,2.884393789108005,RGI07_glacier
133,gfdl-esm4,2041-2060_ssp126,2.3858307453722647,RGI07_glacier
134,gfdl-esm4,2061-2080_ssp126,3.377444079348722,RGI07_glacier
135,gfdl-esm4,2081-2100_ssp126,2.8438312167913997,RGI07_glacier
136,gfdl-esm4,2021-2040_ssp370,2.1748523694263966,RGI07_glacier
137,gfdl-esm4,2041-2060_ssp370,4.317180319322414,RGI07_glacier
