,rgi_reg,temp_ch_ipcc,resp_time_-50%
142,RGI02,3.045613246951532,15.0
143,RGI02,3.354119753355767,10.0
144,RGI02,3.3945105505178423,11.0
145,RGI02,3.453114748093524,9.5
146,RGI02,3.4723191142029632,10.5
147,RGI02,3.481685753482952,12.0
148,RGI02,3.586967337572662,10.0
149,RGI02,3.751452139882864,11.0
150,RGI02,3.9307986846486527,9.0
151,RGI02,3.941455331400753,10.5
152,RGI02,4.10009837781178,8.0
153,RGI02,4.37997677800201,7.0
154,RGI02,4.534325025231115,9.0
155,RGI02,4.617751174879019,6.5
156,RGI02,5.17054329301376,6.0
157,RGI02,5.780495049230715,5.0
158,RGI02,5.78930497817028,5.5
159,RGI02,6.824360785697311,4.5
160,RGI03,-0.2035287736460141,384.0
161,RGI03,-0.1919133257011854,378.0
162,RGI03,0.0233736138284338,409.0
